image,src_style,src_stem,tgt_style,lpips,clip_style,clip_content
/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_002250/images/Early_Renaissance__andrea-mantegna_adoration-of-the-magi-central-panel-from-the-altarpiece__to__Early_Renaissance.png,Early_Renaissance,andrea-mantegna_adoration-of-the-magi-central-panel-from-the-altarpiece,Early_Renaissance,0.3011726438999176,0.7015984058380127,0.9062473177909851
/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_002250/images/Early_Renaissance__andrea-mantegna_adoration-of-the-magi-central-panel-from-the-altarpiece__to__Impressionism.png,Early_Renaissance,andrea-mantegna_adoration-of-the-magi-central-panel-from-the-altarpiece,Impressionism,0.2960413098335266,0.5495812296867371,0.9052272439002991
/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_002250/images/Early_Renaissance__andrea-mantegna_adoration-of-the-magi-central-panel-from-the-altarpiece__to__Minimalism.png,Early_Renaissance,andrea-mantegna_adoration-of-the-magi-central-panel-from-the-altarpiece,Minimalism,0.38747233152389526,0.566084086894989,0.8647657632827759
/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_002250/images/Early_Renaissance__andrea-mantegna_adoration-of-the-magi-central-panel-from-the-altarpiece__to__Rococo.png,Early_Renaissance,andrea-mantegna_adoration-of-the-magi-central-panel-from-the-altarpiece,Rococo,0.30397260189056396,0.5490541458129883,0.8968441486358643
/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_002250/images/Early_Renaissance__andrea-mantegna_adoration-of-the-magi-central-panel-from-the-altarpiece__to__Ukiyo_e.png,Early_Renaissance,andrea-mantegna_adoration-of-the-magi-central-panel-from-the-altarpiece,Ukiyo_e,0.3211246728897095,0.5712984800338745,0.903559148311615
/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_002250/images/Early_Renaissance__andrea-mantegna_maria-with-the-sleeping-child-1455__to__Early_Renaissance.png,Early_Renaissance,andrea-mantegna_maria-with-the-sleeping-child-1455,Early_Renaissance,0.3980266749858856,0.701446533203125,0.929603099822998
/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_002250/images/Early_Renaissance__andrea-mantegna_maria-with-the-sleeping-child-1455__to__Impressionism.png,Early_Renaissance,andrea-mantegna_maria-with-the-sleeping-child-1455,Impressionism,0.3410239815711975,0.5311384797096252,0.934079647064209
/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_002250/images/Early_Renaissance__andrea-mantegna_maria-with-the-sleeping-child-1455__to__Minimalism.png,Early_Renaissance,andrea-mantegna_maria-with-the-sleeping-child-1455,Minimalism,0.3473360538482666,0.5616763830184937,0.9222791194915771
/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_002250/images/Early_Renaissance__andrea-mantegna_maria-with-the-sleeping-child-1455__to__Rococo.png,Early_Renaissance,andrea-mantegna_maria-with-the-sleeping-child-1455,Rococo,0.31759026646614075,0.5349053740501404,0.9197874665260315
/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_002250/images/Early_Renaissance__andrea-mantegna_maria-with-the-sleeping-child-1455__to__Ukiyo_e.png,Early_Renaissance,andrea-mantegna_maria-with-the-sleeping-child-1455,Ukiyo_e,0.4394068717956543,0.5536251068115234,0.9327672719955444
