experiment_id,k_value,recipe_id,description,balance_target_styles_per_batch,content_weights,target_weights,config_path,run_dir
K1_r00_balanced_default,1.0,R00_balanced_default,Original balanced target sampler from base config.,True,,,G:\GitHub\Latent_Style\SchrodingerBridge\weight_sweep_40\configs\K1_r00_balanced_default.json,G:\GitHub\Latent_Style\SchrodingerBridge\weight_sweep_40\K1_r00_balanced_default
K1_r01_uniform_unbalanced,1.0,R01_uniform_unbalanced,"Uniform content and target weights, unbalanced sampler.",False,"1,1,1,1,1","1,1,1,1,1",G:\GitHub\Latent_Style\SchrodingerBridge\weight_sweep_40\configs\K1_r01_uniform_unbalanced.json,G:\GitHub\Latent_Style\SchrodingerBridge\weight_sweep_40\K1_r01_uniform_unbalanced
K1_r02_prev_manual,1.0,R02_prev_manual,Previous manual recipe: more photo/Hayao content and Hayao/art target.,False,"1.35,1.25,0.85,0.85,0.85","0.8,1.35,1.05,1.05,1.05",G:\GitHub\Latent_Style\SchrodingerBridge\weight_sweep_40\configs\K1_r02_prev_manual.json,G:\GitHub\Latent_Style\SchrodingerBridge\weight_sweep_40\K1_r02_prev_manual
K1_r03_hayao_strong,1.0,R03_hayao_strong,Strong Hayao target pressure.,False,"1.3,1.4,0.85,0.85,0.85","0.75,1.7,1,1,1",G:\GitHub\Latent_Style\SchrodingerBridge\weight_sweep_40\configs\K1_r03_hayao_strong.json,G:\GitHub\Latent_Style\SchrodingerBridge\weight_sweep_40\K1_r03_hayao_strong
K1_r04_cezanne_strong,1.0,R04_cezanne_strong,Repair Cezanne style drop by target emphasis.,False,"1.35,1.05,0.85,0.85,1.25","0.75,1.1,1,1,1.6",G:\GitHub\Latent_Style\SchrodingerBridge\weight_sweep_40\configs\K1_r04_cezanne_strong.json,G:\GitHub\Latent_Style\SchrodingerBridge\weight_sweep_40\K1_r04_cezanne_strong
K1_r05_vangogh_strong,1.0,R05_vangogh_strong,Van Gogh target emphasis.,False,"1.35,1.05,0.85,1.25,0.85","0.75,1.1,1,1.6,1",G:\GitHub\Latent_Style\SchrodingerBridge\weight_sweep_40\configs\K1_r05_vangogh_strong.json,G:\GitHub\Latent_Style\SchrodingerBridge\weight_sweep_40\K1_r05_vangogh_strong
K1_r06_monet_strong,1.0,R06_monet_strong,Monet target emphasis.,False,"1.35,1.05,1.25,0.85,0.85","0.75,1.1,1.6,1,1",G:\GitHub\Latent_Style\SchrodingerBridge\weight_sweep_40\configs\K1_r06_monet_strong.json,G:\GitHub\Latent_Style\SchrodingerBridge\weight_sweep_40\K1_r06_monet_strong
K1_r07_art_balanced,1.0,R07_art_balanced,"All art targets boosted equally, photo target suppressed.",False,"1.4,1,0.9,0.9,0.9","0.7,1.2,1.2,1.2,1.2",G:\GitHub\Latent_Style\SchrodingerBridge\weight_sweep_40\configs\K1_r07_art_balanced.json,G:\GitHub\Latent_Style\SchrodingerBridge\weight_sweep_40\K1_r07_art_balanced
K1_r08_photo_content_high,1.0,R08_photo_content_high,"Content-heavy recipe: frequent photo content, moderate art target.",False,"1.8,1.1,0.75,0.75,0.75","0.7,1.2,1.2,1.2,1.2",G:\GitHub\Latent_Style\SchrodingerBridge\weight_sweep_40\configs\K1_r08_photo_content_high.json,G:\GitHub\Latent_Style\SchrodingerBridge\weight_sweep_40\K1_r08_photo_content_high
K1_r09_photo_content_low,1.0,R09_photo_content_low,Less photo as content; stress art-to-art content retention.,False,"0.9,1.2,1.1,1.1,1.1","0.7,1.25,1.25,1.25,1.25",G:\GitHub\Latent_Style\SchrodingerBridge\weight_sweep_40\configs\K1_r09_photo_content_low.json,G:\GitHub\Latent_Style\SchrodingerBridge\weight_sweep_40\K1_r09_photo_content_low
K1_r10_no_photo_target,1.0,R10_no_photo_target,Nearly remove photo target to focus transfer style.,False,"1.5,1.1,0.9,0.9,0.9","0.3,1.35,1.35,1.35,1.35",G:\GitHub\Latent_Style\SchrodingerBridge\weight_sweep_40\configs\K1_r10_no_photo_target.json,G:\GitHub\Latent_Style\SchrodingerBridge\weight_sweep_40\K1_r10_no_photo_target
K1_r11_photo_target_some,1.0,R11_photo_target_some,Keep more photo target for identity/content stability.,False,"1.5,1.1,0.9,0.9,0.9","1,1.2,1.2,1.2,1.2",G:\GitHub\Latent_Style\SchrodingerBridge\weight_sweep_40\configs\K1_r11_photo_target_some.json,G:\GitHub\Latent_Style\SchrodingerBridge\weight_sweep_40\K1_r11_photo_target_some
K1_r12_hayao_cezanne,1.0,R12_hayao_cezanne,Joint Hayao plus Cezanne target repair.,False,"1.35,1.25,0.8,0.8,1.1","0.65,1.45,1,1,1.45",G:\GitHub\Latent_Style\SchrodingerBridge\weight_sweep_40\configs\K1_r12_hayao_cezanne.json,G:\GitHub\Latent_Style\SchrodingerBridge\weight_sweep_40\K1_r12_hayao_cezanne
K1_r13_monet_vangogh,1.0,R13_monet_vangogh,Joint Monet plus Van Gogh target pressure.,False,"1.35,1.05,1.1,1.1,0.8","0.65,1.1,1.45,1.45,1",G:\GitHub\Latent_Style\SchrodingerBridge\weight_sweep_40\configs\K1_r13_monet_vangogh.json,G:\GitHub\Latent_Style\SchrodingerBridge\weight_sweep_40\K1_r13_monet_vangogh
K1_r14_soft_art,1.0,R14_soft_art,Soft version of art target emphasis.,False,"1.25,1.1,0.95,0.95,0.95","0.85,1.15,1.15,1.15,1.15",G:\GitHub\Latent_Style\SchrodingerBridge\weight_sweep_40\configs\K1_r14_soft_art.json,G:\GitHub\Latent_Style\SchrodingerBridge\weight_sweep_40\K1_r14_soft_art
K1_r15_hard_art,1.0,R15_hard_art,Hard version of art target emphasis.,False,"1.6,1.1,0.75,0.75,0.75","0.45,1.45,1.45,1.45,1.45",G:\GitHub\Latent_Style\SchrodingerBridge\weight_sweep_40\configs\K1_r15_hard_art.json,G:\GitHub\Latent_Style\SchrodingerBridge\weight_sweep_40\K1_r15_hard_art
K1_r16_photo_hayao_content_art_target,1.0,R16_photo_hayao_content_art_target,Photo/Hayao content anchors with uniform art target pressure.,False,"1.55,1.35,0.75,0.75,0.75","0.6,1.25,1.25,1.25,1.25",G:\GitHub\Latent_Style\SchrodingerBridge\weight_sweep_40\configs\K1_r16_photo_hayao_content_art_target.json,G:\GitHub\Latent_Style\SchrodingerBridge\weight_sweep_40\K1_r16_photo_hayao_content_art_target
K1_r17_art_content_art_target,1.0,R17_art_content_art_target,More art content and more art target; less photo dominance.,False,"0.85,1.15,1.15,1.15,1.15","0.55,1.3,1.3,1.3,1.3",G:\GitHub\Latent_Style\SchrodingerBridge\weight_sweep_40\configs\K1_r17_art_content_art_target.json,G:\GitHub\Latent_Style\SchrodingerBridge\weight_sweep_40\K1_r17_art_content_art_target
K1_r18_cezanne_fix_prev,1.0,R18_cezanne_fix_prev,Previous manual recipe plus extra Cezanne target.,False,"1.35,1.25,0.85,0.85,0.95","0.75,1.3,1.05,1.05,1.45",G:\GitHub\Latent_Style\SchrodingerBridge\weight_sweep_40\configs\K1_r18_cezanne_fix_prev.json,G:\GitHub\Latent_Style\SchrodingerBridge\weight_sweep_40\K1_r18_cezanne_fix_prev
K1_r19_hayao_fix_prev,1.0,R19_hayao_fix_prev,Previous manual recipe plus extra Hayao target.,False,"1.35,1.35,0.8,0.8,0.8","0.75,1.6,1,1,1",G:\GitHub\Latent_Style\SchrodingerBridge\weight_sweep_40\configs\K1_r19_hayao_fix_prev.json,G:\GitHub\Latent_Style\SchrodingerBridge\weight_sweep_40\K1_r19_hayao_fix_prev
K2_r00_balanced_default,2.0,R00_balanced_default,Original balanced target sampler from base config.,True,,,G:\GitHub\Latent_Style\SchrodingerBridge\weight_sweep_40\configs\K2_r00_balanced_default.json,G:\GitHub\Latent_Style\SchrodingerBridge\weight_sweep_40\K2_r00_balanced_default
