run_name,reason,epoch,transfer_clip_style,transfer_lpips,allpairs_clip_style,allpairs_lpips,wall_total,summary_json,metrics_csv,images_dir,introstyle_target_style_score,introstyle_source_style_score,introstyle_best_non_target_score,introstyle_style_margin,introstyle_identity_target_score
aaai2027_inmortal_knee_e13_spatial_carriergate_bodydecoder_seed42_b8a2,best_transfer_lpips,epoch_0003,0.703633793046077,0.43873647793333337,0.7259644438028334,0.43447103117333336,88.68634294900403,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\knee_spatial_carriergate_bodydecoder_fresh_localreview_20260609\epoch_0003\summary.json,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\knee_spatial_carriergate_bodydecoder_fresh_localreview_20260609\epoch_0003\metrics.csv,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\knee_spatial_carriergate_bodydecoder_fresh_localreview_20260609\epoch_0003\images,0.10980851820359627,0.1453886395941178,0.1532572925587495,-0.04344877435515324,0.14342735931277276
aaai2027_inmortal_knee_e13_spatial_carriergate_bodydecoder_seed42_b8a2,best_transfer_clip_style,epoch_0008,0.7038239671289921,0.4396410860833333,0.7259555629491805,0.43543776349333335,88.70560767200368,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\knee_spatial_carriergate_bodydecoder_fresh_localreview_20260609\epoch_0008\summary.json,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\knee_spatial_carriergate_bodydecoder_fresh_localreview_20260609\epoch_0008\metrics.csv,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\knee_spatial_carriergate_bodydecoder_fresh_localreview_20260609\epoch_0008\images,0.11081652333959938,0.1433592478806774,0.15074072030683358,-0.03992419696723421,0.1485501339038213
aaai2027_inmortal_knee_e13_spatial_carriergate_bodydecoder_seed42_b8a2,latest,epoch_0012,0.7035488099853197,0.4396434382333333,0.7259275133609772,0.43543338037333335,88.44742854299693,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\knee_spatial_carriergate_bodydecoder_fresh_localreview_20260609\epoch_0012\summary.json,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\knee_spatial_carriergate_bodydecoder_fresh_localreview_20260609\epoch_0012\metrics.csv,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\knee_spatial_carriergate_bodydecoder_fresh_localreview_20260609\epoch_0012\images,0.10997022386640311,0.14496756877750158,0.15311101265251637,-0.043140788786113264,0.1510243951777617
